name,address,zip,mobile,telephone,fax,email
上海一汽沪奥汽车销售有限公司,上海市闵行区华翔路69号,201105,,,52272055,sa31004@part.faw-vw.com
上海永达汽车浦东销售服务有限公司,上海市浦东新区沪南公路2178号,200135,,,58606699,sa31001@part.faw-vw.com
上海永达奥诚中环汽车销售服务有限公司,金晓锋上海市宝山区长江西路1139号,200431,13636513539,,66226022,345194196@qq.com
上海永达奥诚汽车销售服务有限公司,施永丹上海市浦东新区申江路288号,201208,13621600239,021-31156789,021-31105506,13621600239@126.com
上海交运起腾汽车销售服务有限公司,上海市徐汇区中山南二路557号,200032,,021-64419999,021-64035846,jyqt_sl@163.com
上海西上海弘杰汽车销售服务有限公司,叶荣上海市浦东新区杨思路1279号,,31118888,31118888,31116060,106053544@qq.com
上海西上海奥杰汽车销售服务有限公司,上海市真北路2158号,200333,,,52757021,sa31009@part.faw-vw.com
上海南空军械厂,上海市虹口区场中路445号,200434,,,65367478,aa7580305@part.faw-vw.com
上海德辰汽车销售有限公司,上海市闵行区颛兴东路1280弄3号,,,021-64896789,,SA31016@part.faw-vw.com
上海东昌汽车嘉定销售服务有限公司,上海市嘉定区安亭镇上海国际汽车城核心贸易区步行街755号,201805,,,69502679,sa31008@part.faw-vw.com
上海东昌金桥豪迪汽车服务有限公司,上海市浦东新区锦绣东路2053号,201206,,021-5032000,021-50325442,luojing@ttichina.com
上海东联松奥汽车销售服务有限公司,陆凯明上海市松江区北松公路6278号,,,021-57777666,021-37000658,415127321@qq.com
上海东联沪港汽车销售有限公司,上海市场中路1980号,200435,,,56886079,sa31003@part.faw-vw.com
上海奥汇汽车销售服务有限公司,上海市松江区沪松公路1610号,201615,,021-33736666,021-37013629,SA31013@part.faw-vw.com
上海宝友汽车销售服务有限公司,上海市宝山区同济路651弄11号,201900,,,56104882,sa31010@part.faw-vw.com
上海开隆汽车贸易有限公司,上海市吴中路1439号,201103,,,64058888-807,sa31002@part.faw-vw.com
上海骐润茂汽车销售有限公司,陈一上海市奉贤区团青公路7239号,,13585849954,13585849954,201414,SA31023@part.faw-vw.com
太仓德尚汽车有限公司,江苏省苏州市太仓市宁波西路8号,215400,,0512-53550000,0512-53661000,zhudaoshou@163.com
平顶山市中瑞汽车销售服务有限公司,河南省平顶山市建设路东段南侧（皇台徐村对面）,467000,,0375-2167777,0375-2177779,sa41008@part.faw-vw.com
合肥恒信德龙奥龙汽车销售服务有限公司,夏诺合肥市庐阳区蒙城北路1111号,,,0551-66105888,0551-66019666,286107620@QQ.COM
安徽安迪汽车有限公司,安徽省合肥市合作化南路32号,230022,,,3522111,sa34001@part.faw-vw.com
安徽得佳汽车销售有限公司,安徽省合肥市裕溪路高架大兴镇出口向东1000米,,0551-67978888,0551-67978888,0551-67978885,2862988007@qq.com
安徽亚迪汽车销售服务有限公司,芜湖市弋江北路亚夏汽车商城,241000,,,2872558,sa34002@part.faw-vw.com
